"Id","Label","Degree","Betweenness"
"ENSP00000270202","AKT1",57,1710.87
"ENSP00000344456","CTNNB1",54,2625.85
"ENSP00000263253","EP300",53,1484.33
"ENSP00000350941","SRC",53,1160.35
"ENSP00000215832","MAPK1",51,752.44
"ENSP00000269305","TP53",50,1403.45
"ENSP00000335153","HSP90AA1",42,1189.06
"ENSP00000353483","MAPK8",42,1164.63
"ENSP00000362649","HDAC1",41,930.74
"ENSP00000348461","RAC1",40,1584.15
"ENSP00000360266","JUN",40,568.3
"ENSP00000264657","STAT3",37,832.91
"ENSP00000363822","AR",36,1071.18
"ENSP00000378699","CDK1",35,767.84
"ENSP00000332973","SMAD3",35,530.71
"ENSP00000206249","ESR1",35,360.23
"ENSP00000340944","PTPN11",34,422.99
"ENSP00000329357","SP1",34,304.19
"ENSP00000341551","SMAD4",33,505.74
"ENSP00000339007","GRB2",33,475.01
"ENSP00000229794","MAPK14",33,395.52
"ENSP00000272317","RPS27A",32,1353.39
"ENSP00000263025","MAPK3",32,426.32
"ENSP00000263967","PIK3CA",32,208.01
"ENSP00000401303","SHC1",31,363.5
"ENSP00000267163","RB1",30,264.91
"ENSP00000400175","RHOA",29,536.79
"ENSP00000304697","UBB",29,531.67
"ENSP00000367207","MYC",29,398.45
"ENSP00000361423","ABL1",29,262.65
"ENSP00000306245","FOS",28,185.15
"ENSP00000269571","ERBB2",27,637.37
"ENSP00000428924","LYN",27,141.23
"ENSP00000338018","HIF1A",26,910.1
"ENSP00000227507","CCND1",26,251.57
"ENSP00000244741","CDKN1A",26,189.2
"ENSP00000268035","IGF1R",25,747.59
"ENSP00000354394","STAT1",25,335.72
"ENSP00000262160","SMAD2",25,322.85
"ENSP00000309503","YWHAZ",25,296.18
"ENSP00000256442","CCNB1",24,190.07
"ENSP00000257904","CDK4",24,131.44
"ENSP00000304895","IRS1",24,126.67
"ENSP00000408695","PRKCA",23,287.47
"ENSP00000277541","NOTCH1",23,272.13
"ENSP00000261799","PDGFRB",23,214.69
"ENSP00000368880","FOXO1",23,177.96
"ENSP00000354558","MTOR",23,166
"ENSP00000228872","CDKN1B",21,185.67
"ENSP00000361021","PTEN",21,113.9
"ENSP00000263754","KAT2B",21,72.65
"ENSP00000329623","BCL2",20,474.86
"ENSP00000288135","KIT",20,224.8
"ENSP00000244007","PLCG1",20,129.71
"ENSP00000345571","E2F1",20,95.89
"ENSP00000300574","CRK",20,45.24
"ENSP00000339191","CAV1",19,263.94
"ENSP00000225577","RPS6KB1",19,159.73
"ENSP00000324740","YES1",19,98.78
"ENSP00000265734","CDK6",19,90.63
"ENSP00000341208","STAT5A",18,96.07
"ENSP00000212015","SIRT1",18,66.3
"ENSP00000363019","UBE2D1",17,190.56
"ENSP00000364133","TGFBR1",17,142.08
"ENSP00000263923","KDR",17,98.06
"ENSP00000376076","SUMO1",17,76.56
"ENSP00000430684","IKBKB",16,207.21
"ENSP00000358335","MAP3K7",16,171.77
"ENSP00000317272","MET",16,109.21
"ENSP00000302486","MAP2K1",16,48.94
"ENSP00000264335","YWHAE",16,42.32
"ENSP00000248975","YWHAH",15,52.74
"ENSP00000305422","CEBPB",15,46.03
"ENSP00000274026","CCNA2",15,33.37
"ENSP00000389338","MAPK9",14,124.32
"ENSP00000359206","BTRC",14,119.9
"ENSP00000384863","XPO1",14,78.73
"ENSP00000344220","PDPK1",14,44.73
"ENSP00000256078","KRAS",14,23.81
"ENSP00000347942","RET",14,19.43
"ENSP00000257290","PDGFRA",13,140.83
"ENSP00000282397","FLT1",13,124.56
"ENSP00000282441","YAP1",13,94.16
"ENSP00000346300","CRKL",13,62.68
"ENSP00000382423","MAP3K1",13,58.37
"ENSP00000375892","AKT2",13,51.64
"ENSP00000313420","PRKDC",13,42.45
"ENSP00000239938","EGR1",13,35.06
"ENSP00000267101","ERBB3",13,33.17
"ENSP00000262643","CCNE1",13,26.58
"ENSP00000361125","VEGFA",12,330.36
"ENSP00000256474","VHL",12,228.65
"ENSP00000339992","MYB",12,63.11
"ENSP00000290921","CTBP1",12,48.84
"ENSP00000265165","LEF1",12,21.4
"ENSP00000376436","ETS1",12,20.36
"ENSP00000361066","NCOA3",12,16.2
"ENSP00000227378","HSPA8",11,197.37
"ENSP00000300305","RUNX1",11,137.51
"ENSP00000308450","CDC20",11,93.92
"ENSP00000347858","XIAP",11,75.99
"ENSP00000262238","YY1",11,14.85
"ENSP00000262904","E2F3",11,7.95
"ENSP00000323901","FZD2",10,180.84
"ENSP00000293549","WNT1",10,176.82
"ENSP00000334458","GATA4",10,155.53
"ENSP00000301633","BIRC5",10,121.09
"ENSP00000351908","MAP3K5",10,86.38
"ENSP00000351905","TGFBR2",10,78.81
"ENSP00000330341","SOCS3",10,76.36
"ENSP00000313829","KHDRBS1",10,31.84
"ENSP00000257430","APC",10,31.41
"ENSP00000305355","PRKCB",10,30.87
"ENSP00000287820","PPARG",10,15.37
"ENSP00000444972","TCF7L2",10,8.77
"ENSP00000346839","FN1",9,185.63
"ENSP00000225512","WNT3",9,127.43
"ENSP00000284811","TCEB1",9,104.96
"ENSP00000265354","SRF",9,78.22
"ENSP00000379258","GLI3",9,75.73
"ENSP00000376943","BCL2L11",9,61.32
"ENSP00000302961","HSPA4",9,47.15
"ENSP00000305769","SMAD1",9,40.48
"ENSP00000246792","RRAS",9,11.65
"ENSP00000309181","CCNE2",9,1.34
"ENSP00000322909","FHL2",8,211.75
