"Id","Label","Degree","Betweenness"
"ENSP00000344456","CTNNB1",77,5716.94
"ENSP00000270202","AKT1",68,4453.17
"ENSP00000215832","MAPK1",53,2117.4
"ENSP00000362649","HDAC1",51,2552.81
"ENSP00000269305","TP53",51,2507.67
"ENSP00000309845","HRAS",48,2459.58
"ENSP00000264657","STAT3",48,1710.32
"ENSP00000384675","SOS1",48,1653.15
"ENSP00000263967","PIK3CA",46,2040.24
"ENSP00000324806","GSK3B",45,2819.83
"ENSP00000332973","SMAD3",42,1291.06
"ENSP00000341551","SMAD4",38,1209.11
"ENSP00000226574","NFKB1",34,1302.06
"ENSP00000277541","NOTCH1",32,795.09
"ENSP00000251849","RAF1",29,656.54
"ENSP00000430432","HDAC2",29,577.52
"ENSP00000262160","SMAD2",29,543.24
"ENSP00000344818","UBC",28,827.32
"ENSP00000293549","WNT1",26,2050.07
"ENSP00000212015","SIRT1",26,515.06
"ENSP00000302486","MAP2K1",24,238.77
"ENSP00000359206","BTRC",22,340.3
"ENSP00000256078","KRAS",22,190.41
"ENSP00000263253","EP300",19,200.95
"ENSP00000278568","PAK1",17,185.16
"ENSP00000265165","LEF1",17,85.44
"ENSP00000221930","TGFB1",16,525.7
"ENSP00000261769","CDH1",16,374.44
"ENSP00000262367","CREBBP",16,188.38
"ENSP00000262948","MAP2K2",16,68.71
"ENSP00000444972","TCF7L2",15,114.29
"ENSP00000376436","ETS1",14,98.18
"ENSP00000348461","RAC1",13,982.92
"ENSP00000363822","AR",13,396.29
"ENSP00000320147","EZH2",13,74.55
"ENSP00000263025","MAPK3",12,103.65
"ENSP00000337825","LCK",12,65.54
"ENSP00000346839","FN1",11,811.33
"ENSP00000244050","SNAI1",11,145.82
"ENSP00000262158","SMAD7",11,53.11
"ENSP00000360266","JUN",11,46.18
"ENSP00000367207","MYC",10,43.84
"ENSP00000309503","YWHAZ",9,315.59
"ENSP00000227507","CCND1",9,147.9
"ENSP00000206249","ESR1",9,141.09
"ENSP00000361021","PTEN",9,134.23
"ENSP00000268035","IGF1R",9,103.91
"ENSP00000275493","EGFR",9,93.19
"ENSP00000306245","FOS",9,16.43
"ENSP00000384273","RELA",8,349.92
"ENSP00000267101","ERBB3",8,66.31
"ENSP00000353483","MAPK8",8,61.6
"ENSP00000340944","PTPN11",8,59.59
"ENSP00000343204","JAK1",8,23.41
"ENSP00000338018","HIF1A",8,23.02
"ENSP00000368880","FOXO1",8,15.25
"ENSP00000262320","AXIN1",7,94.17
"ENSP00000269571","ERBB2",7,60.68
"ENSP00000267163","RB1",7,42.83
"ENSP00000335153","HSP90AA1",7,29.57
"ENSP00000282111","TCF7L1",7,28.8
"ENSP00000340347","TCF7",7,28.8
"ENSP00000261799","PDGFRB",7,25.01
"ENSP00000400175","RHOA",7,13.43
"ENSP00000257430","APC",7,12.32
"ENSP00000288602","BRAF",7,11.36
"ENSP00000372035","LATS2",6,276.07
"ENSP00000290921","CTBP1",6,212.42
"ENSP00000368169","DVL1",6,72.02
"ENSP00000317272","MET",6,60.25
"ENSP00000347942","RET",6,51.67
"ENSP00000314458","CDC42",6,43.43
"ENSP00000364133","TGFBR1",6,38.4
"ENSP00000304283","RAC3",6,28.69
