"V1" "V2"
"ABL1" "CTNNB1"
"ABL1" "MAPK1"
"ABL1" "SOS1"
"ABL1" "STAT3"
"ABL1" "TP53"
"ACTN4" "CTNNB1"
"ACTN4" "FN1"
"ACTN4" "PIK3CA"
"ACVR1" "miR-130b"
"ACVR1" "SMAD2"
"AKT1" "AKT2"
"AKT1" "APPL1"
"AKT1" "ARF6"
"AKT1" "ATF1"
"AKT1" "BAD"
"AKT1" "BCL11A"
"AKT1" "BCL11B"
"AKT1" "BCL2L1"
"AKT1" "BCL2L11"
"AKT1" "BCL2L2"
"AKT1" "BRAF"
"AKT1" "BTRC"
"AKT1" "CASP3"
"AKT1" "CASP9"
"AKT1" "CCNB1"
"AKT1" "CCNT2"
"AKT1" "CDC42"
"AKT1" "CDKN1A"
"AKT1" "CDKN1B"
"AKT1" "CHUK"
"AKT1" "CREBBP"
"AKT1" "CTCF"
"AKT1" "CTNNB1"
"AKT1" "DNMT1"
"AKT1" "E2F1"
"AKT1" "EGR1"
"AKT1" "EP300"
"AKT1" "ERBB3"
"AKT1" "ESR1"
"AKT1" "EZH2"
"AKT1" "FLT3"
"AKT1" "FOS"
"AKT1" "FOXO1"
"AKT1" "GATAD1"
"AKT1" "GATAD2A"
"AKT1" "GLI1"
"AKT1" "GLI2"
"AKT1" "GLIS2"
"AKT1" "GSK3B"
"AKT1" "GTF2F1"
"AKT1" "HBP1"
"AKT1" "HIC1"
"AKT1" "HIF1A"
"AKT1" "HMGN3"
"AKT1" "HSP90AA1"
"AKT1" "HSP90AB1"
"AKT1" "HSPA4"
"AKT1" "IKBKB"
"AKT1" "INSM2"
"AKT1" "IRS1"
"AKT1" "JAK1"
"AKT1" "KAT2B"
"AKT1" "KLF4"
"AKT1" "KLF7"
"AKT1" "LCK"
"AKT1" "LYN"
"AKT1" "MAP3K5"
"AKT1" "MAPK14"
"AKT1" "MAZ"
"AKT1" "miR-192"
"AKT1" "MLX"
"AKT1" "MTOR"
"AKT1" "MXD3"
"AKT1" "MXD4"
"AKT1" "NFKB1"
"AKT1" "NOTCH1"
"AKT1" "NRF1"
"AKT1" "PAK1"
"AKT1" "PDGFRB"
"AKT1" "PDPK1"
"AKT1" "PIK3CA"
"AKT1" "PIK3CB"
"AKT1" "PIK3CD"
"AKT1" "PIK3CG"
"AKT1" "PPARG"
"AKT1" "PRDM2"
"AKT1" "PRKDC"
"AKT1" "PTEN"
"AKT1" "RAC1"
"AKT1" "RAC2"
"AKT1" "RAC3"
"AKT1" "RAF1"
"AKT1" "RAP1B"
"AKT1" "RARA"
"AKT1" "RB1"
"AKT1" "REST"
"AKT1" "RHOA"
"AKT1" "RNF11"
"AKT1" "RPS27A"
"AKT1" "RPS6KB1"
"AKT1" "RRAS"
"AKT1" "SIRT1"
"AKT1" "SKP2"
"AKT1" "SMAD2"
"AKT1" "SMAD3"
"AKT1" "SMAD4"
"AKT1" "SMAD7"
"AKT1" "SOS1"
"AKT1" "SP2"
"AKT1" "SP3"
"AKT1" "SP7"
"AKT1" "SRC"
"AKT1" "STAT1"
"AKT1" "TGIF2"
"AKT1" "TRAF6"
"AKT1" "TSC2"
"AKT1" "UBB"
