"V1" "V2"
"AXIN2" "miR-34a"
"AXIN2" "miR-34b"
"AXIN2" "miR-34c"
"AXIN2" "TCF7L1"
"BCL11A" "HMGA2"
"BCL11A" "MUC1"
"BCL11A" "SNAI1"
"BCL11A" "WNT1"
"BCL11B" "MUC1"
"BCL2" "miR-192"
"BCL2" "miR-200b"
"BCL2" "miR-200c"
"BCL2" "miR-205"
"BCL2" "miR-215"
"BCL2" "miR-34a"
"BCL2" "miR-34b"
"BCL2" "miR-34c"
"BCL2" "miR-429"
"BIRC3" "miR-34a"
"BIRC5" "miR-101-1"
"BIRC5" "miR-34a"
"BMP4" "WNT1"
"CAV1" "miR-192"
"CAV1" "miR-34b"
"CAV1" "miR-34c"
"CCNA2" "miR-130b"
"CCNB1" "miR-192"
"CCND1" "CDH1"
"CCND1" "miR-34a"
"CCND1" "miR-34b"
"CCNE1" "miR-192"
"CCNE1" "miR-215"
"CCNE2" "miR-200a"
"CCNE2" "miR-200b"
"CCNE2" "miR-200c"
"CCNE2" "miR-34a"
"CCNE2" "miR-34b"
"CCNE2" "miR-34c"
"CD44" "FN1"
"CD44" "miR-130b"
"CD44" "miR-192"
"CD44" "miR-34a"
"CDC20" "miR-192"
"CDC20" "miR-215"
"CDC20" "miR-34a"
"CDH1" "CDH3"
"CDH1" "EGFR"
"CDH1" "EZH2"
"CDH1" "FGFR1"
"CDH1" "ITGB7"
"CDH1" "KLF4"
"CDH1" "MET"
"CDH1" "miR-34c"
"CDH1" "MYC"
"CDH1" "NR2F1"
"CDH1" "PPARG"
"CDH1" "SNAI1"
"CDH1" "SNAI2"
"CDH2" "SNAI1"
"CDH2" "SNAI2"
"CDH3" "EZH2"
"CDK1" "EZH2"
"CDK1" "miR-205"
"CDK6" "miR-200a"
"CDK6" "miR-205"
"CDK6" "miR-34a"
"CDK6" "miR-34b"
"CDK6" "miR-34c"
"CLDN1" "INSM2"
"CLDN1" "miR-141"
"CLDN3" "EZH2"
"CLDN3" "KLF4"
"CLDN3" "PPARG"
"CLDN3" "SNAI1"
"CREB3L1" "MUC1"
"CREB3L1" "SNAI1"
"CSF1R" "miR-34a"
"DAPK1" "miR-130b"
"E2F1" "EZH2"
"E2F1" "miR-130b"
"E2F1" "miR-205"
"E2F1" "miR-34a"
"EGLN3" "miR-130b"
"EGR1" "miR-192"
"EGR1" "miR-215"
"EGR1" "SNAI1"
"EGR1" "WNT1"
"ERBB3" "miR-205"
"ERN1" "miR-192"
"ESR1" "miR-130b"
"ESRP1" "EZH2"
"ESRP1" "KLF4"
"ESRP1" "SNAI1"
"ETV4" "FN1"
"ETV4" "OCLN"
"EZH2" "miR-101-1"
"EZH2" "miR-200a"
"EZH2" "miR-200b"
"EZH2" "miR-429"
"EZH2" "MUC1"
"EZH2" "MYC"
"EZH2" "SNAI1"
"EZH2" "TWIST1"
"EZH2" "WNT1"
"FGF1" "miR-130b"
"FGF2" "miR-101-1"
"FGF2" "miR-192"
"FGF2" "miR-215"
